,ethnicity,marital_status,owner_type,gender,use,age,bld_val,year_built,roof_age
0,Hispanic,Unknown,Unknown or not provided,Female,Single Family Residence,45.0,183000.0,1993.0,22.0
1,East Asian,Married,Husband and wife,Female,Single Family Residence,42.0,182222.0,2002.0,14.0
2,Western European,Single,Estate,Female,Single Family Residence,45.0,103151.0,1964.0,28.0
3,Hispanic,Married,Unknown or not provided,Female,Single Family Residence,41.0,122260.0,1981.0,11.0
4,Jewish,Unknown,Unknown or not provided,Female,Single Family Residence,39.0,297735.0,1982.0,28.0
5,Hispanic,Married,Married Woman,Female,Single Family Residence,50.0,167003.0,1999.0,16.0
6,East Asian,Unknown,Unknown or not provided,Male,Single Family Residence,60.62957154858583,149723.0,1999.0,16.0
7,Western European,Unknown,Unknown or not provided,Male,Single Family Residence,29.0,305366.0,2014.0,28.0
8,Other,Unknown,Unknown or not provided,Female,Single Family Residence,60.62957154858583,1337570.0,1940.0,25.0
9,Western European,Single,Husband and wife,Male,Single Family Residence,47.0,557798.0,2000.0,16.0
10,Western European,Unknown,Unknown or not provided,Unknown,Single Family Residence,60.62957154858583,310000.0,1973.0,28.0
11,Western European,Married,Unknown or not provided,Female,Single Family Residence,55.0,1861092.0,1999.0,16.0
12,Western European,Married,Unknown or not provided,Female,Single Family Residence,44.0,351148.0,2002.0,29.0
13,Western European,Married,Husband and wife,Female,Single Family Residence,46.0,154981.0,1974.0,28.0
14,African American,Single,Unknown or not provided,Female,Single Family Residence,37.0,209000.0,2013.0,21.938150112176217
15,Western European,Single,Unknown or not provided,Female,Single Family Residence,46.0,346372.0,2008.0,7.0
16,Western European,Unknown,Husband and wife,Female,Single Family Residence,37.0,429068.0,2002.0,14.0
17,Eastern European,Unknown,Husband and wife,Female,Single Family Residence,60.62957154858583,470000.0,1940.0,28.0
18,Western European,Married,Unknown or not provided,Female,Single Family Residence,33.0,345728.0,1967.0,29.0
19,Hispanic,Married,Unknown or not provided,Male,Single Family Residence,51.0,202198.0,1952.0,28.0
20,Western European,Married,Unknown or not provided,Female,Single Family Residence,49.0,1300000.0,2004.0,12.0
21,Western European,Married,Unknown or not provided,Male,Single Family Residence,52.0,1738300.0,1939.0,29.0
22,Western European,Married,Unknown or not provided,Female,Single Family Residence,65.0,361189.0,1958.0,29.0
23,Unknown,Unknown,Unknown or not provided,Unknown,Single Family Residence,60.62957154858583,593160.0,1995.0,21.0
24,Western European,Unknown,Unknown or not provided,Female,Single Family Residence,30.0,673900.0,1954.0,28.0
25,Hispanic,Separated,Unknown or not provided,Female,Single Family Residence,68.0,558009.0,2013.0,28.0
26,Western European,Married,Unknown or not provided,Female,Single Family Residence,72.0,518265.0,1955.0,29.0
27,Scandinavian,Unknown,Husband and wife,Female,Single Family Residence,50.0,564809.0,2008.0,7.0
28,Mediterranean,Married,Husband and wife,Female,Single Family Residence,61.0,167770.0,1965.0,28.0
29,African American,Married,Husband and wife,Female,Single Family Residence,41.0,142566.0,2003.0,12.0
30,East Asian,Single,Unknown or not provided,Male,Single Family Residence,49.0,360000.0,2003.0,12.0
31,Western European,Unknown,Husband and wife,Male,Single Family Residence,38.0,1663512.0,2011.0,4.0
32,Western European,Single,Unknown or not provided,Female,Single Family Residence,36.0,705245.0,1956.0,29.0
33,Mediterranean,Married,Unknown or not provided,Female,Single Family Residence,41.0,224700.0,1965.0,28.0
