,ethnicity,marital_status,owner_type,gender,use,age,bld_val,year_built,roof_age
0,Scandinavian,Single,Single Woman,Female,Single Family Residence,45.0,723000.0,1976.0,20.0
1,Unknown,Unknown,Community Property,Unknown,Single Family Residence,58.477170903599294,785000.0,1964.0,20.0
2,Eastern European,Married,Community Property,Unknown,Single Family Residence,45.0,1258000.0,1930.0,0.0
3,Jewish,Married,Trust,Male,Single Family Residence,48.0,875000.0,2005.0,10.0
4,Jewish,Unknown,Unknown or not provided,Female,Single Family Residence,58.477170903599294,2602000.0,2001.0,14.0
5,Mediterranean,Married,Separate Estate/Property,Female,Single Family Residence,62.0,1005000.0,1948.0,18.0
6,Mediterranean,Married,Separate Estate/Property,Female,Single Family Residence,62.0,1005000.0,1948.0,18.0
7,Western European,Married,Trust,Female,Single Family Residence,45.0,2104000.0,1940.0,20.0
8,Other,Married,Trustee,Female,Single Family Residence,54.0,1919000.0,1953.0,20.0
9,Other,Married,Trustee,Female,Single Family Residence,54.0,1919000.0,1953.0,20.0
10,Western European,Married,Trustee,Female,Single Family Residence,94.0,875000.0,1925.0,20.0
11,Other,Single,Separate Estate/Property,Female,Single Family Residence,53.0,2089000.0,1948.0,4.0
12,African American,Married,Trustee,Female,Single Family Residence,92.0,1010000.0,1956.0,5.0
13,African American,Married,Trustee,Female,Single Family Residence,92.0,1010000.0,1956.0,5.0
14,Eastern European,Single,Unknown or not provided,Male,Condominium,59.0,1163000.0,2005.0,17.062327947336925
15,Unknown,Unknown,Unknown or not provided,Unknown,Unknown,58.477170903599294,870000.0,1944.2155370730843,17.062327947336925
16,African American,Married,Husband and wife,Female,Single Family Residence,78.0,903000.0,1954.0,22.0
17,African American,Married,Husband and wife,Female,Single Family Residence,78.0,903000.0,1954.0,22.0
18,Jewish,Married,Personal Trust,Male,Single Family Residence,93.0,2415000.0,2014.0,2.0
19,Jewish,Married,Trust,Female,Single Family Residence,83.0,1569000.0,1946.0,20.0
20,Western European,Married,Trustee,Female,Single Family Residence,79.0,1728000.0,1929.0,20.0
21,Other,Single,Single Woman,Female,Single Family Residence,48.0,1585000.0,1928.0,20.0
22,Jewish,Married,Trust,Female,Condominium,71.0,1179000.0,1989.0,17.062327947336925
23,Western European,Single,Trust,Unknown,Single Family Residence,70.0,867000.0,1937.0,1.0
24,Western European,Single,Trust,Unknown,Single Family Residence,70.0,867000.0,1937.0,1.0
25,Western European,Single,Trust,Unknown,Single Family Residence,70.0,867000.0,1937.0,1.0
26,Western European,Single,Trust,Unknown,Single Family Residence,70.0,867000.0,1937.0,1.0
27,Other,Unknown,Joint Tenant/Joint Tenant with right of Survivorship,Unknown,Condominium,58.477170903599294,778000.0,1972.0,20.0
28,Other,Married,Trustee,Female,Single Family Residence,63.0,2302000.0,1994.0,20.0
29,Other,Married,Trustee,Female,Single Family Residence,63.0,2302000.0,1994.0,20.0
30,Other,Married,Trust,Male,Single Family Residence,75.0,1490000.0,1962.0,20.0
31,Eastern European,Married,Trustee,Male,Single Family Residence,50.0,1333000.0,1947.0,20.0
32,Western European,Married,Trust,Female,Single Family Residence,63.0,1540000.0,1946.0,20.0
33,Jewish,Married,Unknown or not provided,Female,Condominium,79.0,1199000.0,1980.0,20.0
34,Western European,Married,Trustee,Male,Single Family Residence,45.0,1659000.0,1926.0,20.0
35,Western European,Married,Trustee,Male,Single Family Residence,45.0,1659000.0,1926.0,20.0
36,Jewish,Unknown,Company/Corporation/Incorporated,Unknown,Single Family Residence,58.477170903599294,2989000.0,1962.0,7.0
37,Mediterranean,Single,Unknown or not provided,Female,"Duplex (2 units, any combination)",63.0,1731000.0,1921.0,8.0
38,Mediterranean,Single,Unknown or not provided,Female,"Duplex (2 units, any combination)",63.0,1731000.0,1921.0,8.0
39,Jewish,Single,Single Man,Male,Single Family Residence,39.0,2151000.0,1947.0,5.0
40,Western European,Unknown,Trust,Male,Condominium,58.477170903599294,1585000.0,1977.0,1.0
41,Western European,Unknown,Trust,Male,Condominium,58.477170903599294,1585000.0,1977.0,1.0
42,Western European,Married,Unknown or not provided,Female,Condominium,38.0,788000.0,1979.0,17.062327947336925
43,Western European,Single,Trust,Female,Condominium,93.0,941000.0,1980.0,17.062327947336925
44,Southeast Asian,Unknown,Trustee,Unknown,Single Family Residence,58.477170903599294,1507000.0,1927.0,20.0
45,Other,Separated,Revocable Trust,Female,Condominium,59.0,966000.0,2005.0,17.062327947336925
46,Other,Separated,Revocable Trust,Female,Condominium,59.0,966000.0,2005.0,17.062327947336925
47,Other,Separated,Revocable Trust,Female,Condominium,59.0,966000.0,2005.0,17.062327947336925
48,Other,Married,Trust,Male,Single Family Residence,74.0,2583000.0,1951.0,20.0
