,ethnicity,marital_status,owner_type,gender,use,age,bld_val,year_built,roof_age
0,Unknown,Unknown,Joint Tenant/Joint Tenant with right of Survivorship,Unknown,Condominium,60.64804147465438,347814.0,1940.7987413772237,17.873599811343002
1,African American,Unknown,Unknown or not provided,Female,Condominium,60.64804147465438,454318.0,1906.0,17.873599811343002
2,Western European,Married,Unknown or not provided,Female,Condominium,55.0,823602.0,1940.7987413772237,17.873599811343002
3,Western European,Married,Revocable Trust,Male,Single Family Residence,55.0,6581000.0,1901.0,26.0
4,Western European,Married,Revocable Trust,Male,Single Family Residence,55.0,6581000.0,1901.0,26.0
5,Jewish,Married,Unknown or not provided,Female,Condominium,48.0,310781.0,1960.0,17.873599811343002
6,Unknown,Unknown,Unknown or not provided,Unknown,Condominium,60.64804147465438,1175716.0,1987.0,5.0
7,East Asian,Single,Unknown or not provided,Male,Cooperative,45.0,1181000.0,1940.7987413772237,17.873599811343002
8,Western European,Single,Unknown or not provided,Male,Condominium,53.0,604901.0,1940.7987413772237,17.873599811343002
9,Jewish,Unknown,Unknown or not provided,Female,Condominium,66.0,239834.0,1923.0,17.873599811343002
10,African American,Single,Unknown or not provided,Female,Single Family Residence,70.0,1966000.0,1910.0,27.0
11,Jewish,Single,Unknown or not provided,Male,Condominium,47.0,190223.0,1940.7987413772237,17.873599811343002
12,Unknown,Unknown,Unknown or not provided,Unknown,Condominium,60.64804147465438,89395.0,2003.0,17.873599811343002
13,Unknown,Unknown,Unknown or not provided,Unknown,Cooperative,60.64804147465438,1095000.0,1940.7987413772237,17.873599811343002
14,Jewish,Married,Unknown or not provided,Male,Condominium,86.0,270206.0,1962.0,17.873599811343002
15,Unknown,Unknown,Unknown or not provided,Unknown,Condominium,60.64804147465438,211195.0,1940.7987413772237,17.873599811343002
16,Jewish,Married,Unknown or not provided,Female,Cooperative,61.0,894000.0,1940.7987413772237,17.873599811343002
17,Unknown,Unknown,Unknown or not provided,Unknown,Condominium,60.64804147465438,434507.0,1985.0,17.873599811343002
18,East Asian,Unknown,Unknown or not provided,Unknown,Cooperative,42.0,421000.0,1940.7987413772237,17.873599811343002
19,Jewish,Married,Unknown or not provided,Male,Cooperative,69.0,1519000.0,1940.7987413772237,17.873599811343002
20,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),60.64804147465438,1335000.0,1910.0,27.0
21,Western European,Married,Unknown or not provided,Female,Cooperative,39.0,999000.0,1940.7987413772237,17.873599811343002
22,Hispanic,Married,Unknown or not provided,Male,Condominium,50.0,383013.0,1940.7987413772237,17.873599811343002
23,Unknown,Unknown,Unknown or not provided,Unknown,Cooperative,60.64804147465438,1355000.0,1940.7987413772237,17.873599811343002
24,Middle Eastern,Married,Unknown or not provided,Female,Cooperative,49.0,1580000.0,1940.7987413772237,17.873599811343002
25,Jewish,Married,Unknown or not provided,Female,Apartment house (5+ units),83.0,136909000.0,1989.0,27.0
26,Western European,Married,Unknown or not provided,Female,Cooperative,67.0,972000.0,1940.7987413772237,17.873599811343002
