,ethnicity,marital_status,owner_type,gender,use,age,bld_val,year_built,roof_age
0,Western European,Married,Unknown or not provided,Female,Single Family Residence,75.0,1792000.0,1899.0,26.0
1,Western European,Married,Unknown or not provided,Female,Single Family Residence,75.0,1792000.0,1899.0,26.0
2,Western European,Married,Unknown or not provided,Female,Single Family Residence,75.0,1792000.0,1899.0,26.0
3,Western European,Married,Unknown or not provided,Female,Single Family Residence,75.0,1792000.0,1899.0,26.0
4,Unknown,Unknown,Unknown or not provided,Unknown,Cooperative,60.148464163822524,2561000.0,1900.0,26.0
5,African American,Unknown,Life Estate,Female,"Triplex (3 units, any combination)",60.148464163822524,1651000.0,1899.0,27.0
6,Western European,Unknown,Unknown or not provided,Female,"Triplex (3 units, any combination)",60.148464163822524,2856000.0,1900.0,12.0
7,Unknown,Unknown,Tenant By Entirety,Unknown,"Duplex (2 units, any combination)",60.148464163822524,2487000.0,1890.0,26.0
8,Unknown,Unknown,Unknown or not provided,Unknown,Single Family Residence,60.148464163822524,1274000.0,1901.0,14.0
9,Western European,Married,Unknown or not provided,Female,Single Family Residence,68.0,1611000.0,1926.0,26.0
10,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),60.148464163822524,2276000.0,1901.0,27.0
11,African American,Married,Unknown or not provided,Female,Cooperative,70.0,1006000.0,1939.2222222222222,23.55586592178771
12,Western European,Married,Unknown or not provided,Female,Single Family Residence,75.0,1792000.0,1899.0,26.0
13,African American,Single,Unknown or not provided,Female,Condominium,50.0,128831.0,1900.0,23.55586592178771
14,Unknown,Unknown,Unknown or not provided,Unknown,Condominium,60.148464163822524,114605.0,1920.0,23.55586592178771
15,African American,Unknown,Unknown or not provided,Female,Cooperative,58.0,810000.0,1939.2222222222222,23.55586592178771
16,Unknown,Unknown,Unknown or not provided,Unknown,"Triplex (3 units, any combination)",60.148464163822524,1852000.0,2000.0,16.0
17,African American,Single,Unknown or not provided,Female,Cooperative,44.0,810000.0,1939.2222222222222,23.55586592178771
18,Western European,Unknown,Unknown or not provided,Male,Condominium,60.148464163822524,49596.0,1920.0,23.55586592178771
19,Western European,Unknown,Unknown or not provided,Male,Condominium,60.148464163822524,49596.0,1920.0,23.55586592178771
20,Western European,Unknown,Unknown or not provided,Male,Condominium,60.148464163822524,49596.0,1920.0,23.55586592178771
21,Western European,Unknown,Unknown or not provided,Male,Condominium,60.148464163822524,49596.0,1920.0,23.55586592178771
22,Western European,Unknown,Unknown or not provided,Male,Condominium,60.148464163822524,49596.0,1920.0,23.55586592178771
23,Western European,Unknown,Unknown or not provided,Male,Condominium,60.148464163822524,49596.0,1920.0,23.55586592178771
24,Western European,Single,Unknown or not provided,Male,Condominium,50.0,237435.0,1939.2222222222222,23.55586592178771
25,Western European,Single,Unknown or not provided,Female,Condominium,67.0,367813.0,1985.0,23.55586592178771
26,Western European,Single,Unknown or not provided,Male,Condominium,91.0,293637.0,1939.2222222222222,23.55586592178771
27,East Asian,Married,Trust,Male,Condominium,86.0,383828.0,1939.2222222222222,23.55586592178771
28,Western European,Single,Unknown or not provided,Female,Condominium,67.0,367813.0,1985.0,23.55586592178771
29,Western European,Married,Unknown or not provided,Male,Condominium,46.0,463911.0,1939.2222222222222,23.55586592178771
30,Other,Married,Unknown or not provided,Male,Condominium,70.0,457336.0,1939.2222222222222,23.55586592178771
31,Unknown,Unknown,Living Trust,Unknown,Condominium,60.148464163822524,205047.0,1939.2222222222222,23.55586592178771
32,Hispanic,Unknown,Unknown or not provided,Female,Condominium,53.0,204306.0,1985.0,23.55586592178771
33,Eastern European,Single,Unknown or not provided,Male,Condominium,59.0,266615.0,1985.0,23.55586592178771
34,Eastern European,Unknown,Unknown or not provided,Male,Condominium,60.148464163822524,245225.0,1939.2222222222222,23.55586592178771
35,Hispanic,Single,Unknown or not provided,Female,Condominium,63.0,364581.0,1939.2222222222222,23.55586592178771
36,Unknown,Unknown,Unknown or not provided,Unknown,Condominium,60.148464163822524,617441.0,1985.0,23.55586592178771
37,Unknown,Unknown,Unknown or not provided,Unknown,Condominium,60.148464163822524,617441.0,1985.0,23.55586592178771
38,Eastern European,Single,Unknown or not provided,Male,Condominium,59.0,266615.0,1985.0,23.55586592178771
39,Southeast Asian,Single,Unknown or not provided,Unknown,Condominium,51.0,312988.0,1987.0,23.55586592178771
40,Unknown,Unknown,Unknown or not provided,Unknown,Condominium,60.148464163822524,246977.0,1985.0,23.55586592178771
41,Western European,Single,Unknown or not provided,Male,Condominium,52.0,165309.0,1939.2222222222222,23.55586592178771
42,Hispanic,Unknown,Unknown or not provided,Female,Condominium,47.0,271596.0,1939.2222222222222,23.55586592178771
43,Unknown,Unknown,Unknown or not provided,Unknown,Condominium,60.148464163822524,234554.0,1939.2222222222222,23.55586592178771
44,Hispanic,Single,Unknown or not provided,Male,Condominium,55.0,288768.0,1939.2222222222222,23.55586592178771
45,East Asian,Unknown,Unknown or not provided,Male,Condominium,60.148464163822524,140735.0,1939.2222222222222,23.55586592178771
46,Hispanic,Unknown,Unknown or not provided,Female,Condominium,47.0,271596.0,1939.2222222222222,23.55586592178771
47,Western European,Married,Unknown or not provided,Female,Condominium,66.0,230369.0,1986.0,23.55586592178771
48,Western European,Married,Unknown or not provided,Female,Condominium,53.0,242973.0,1939.2222222222222,23.55586592178771
49,Mediterranean,Married,Unknown or not provided,Female,Condominium,64.0,235221.0,1939.2222222222222,23.55586592178771
50,Western European,Unknown,Unknown or not provided,Male,Condominium,60.148464163822524,49596.0,1920.0,23.55586592178771
51,Western European,Unknown,Unknown or not provided,Male,Condominium,60.148464163822524,49596.0,1920.0,23.55586592178771
52,Western European,Unknown,Unknown or not provided,Male,Condominium,60.148464163822524,49596.0,1920.0,23.55586592178771
53,Scandinavian,Married,Unknown or not provided,Female,Condominium,59.0,171221.0,2007.0,23.55586592178771
54,Jewish,Single,Unknown or not provided,Female,Condominium,56.0,120629.0,2004.0,23.55586592178771
55,African American,Unknown,Unknown or not provided,Female,Cooperative,58.0,810000.0,1939.2222222222222,23.55586592178771
56,Western European,Unknown,Unknown or not provided,Male,Condominium,60.148464163822524,49596.0,1920.0,23.55586592178771
57,Western European,Unknown,Unknown or not provided,Male,Condominium,60.148464163822524,49596.0,1920.0,23.55586592178771
58,Western European,Unknown,Unknown or not provided,Male,Condominium,60.148464163822524,49596.0,1920.0,23.55586592178771
59,Western European,Unknown,Unknown or not provided,Male,Condominium,60.148464163822524,49596.0,1920.0,23.55586592178771
60,Western European,Unknown,Unknown or not provided,Male,Condominium,60.148464163822524,49596.0,1920.0,23.55586592178771
61,Western European,Unknown,Unknown or not provided,Male,Condominium,60.148464163822524,49596.0,1920.0,23.55586592178771
62,Western European,Unknown,Unknown or not provided,Male,Condominium,60.148464163822524,49596.0,1920.0,23.55586592178771
63,Unknown,Unknown,Unknown or not provided,Unknown,"Triplex (3 units, any combination)",60.148464163822524,732000.0,1900.0,18.0
64,African American,Married,Unknown or not provided,Female,Single Family Residence,74.0,1252000.0,1901.0,26.0
65,Hispanic,Married,Unknown or not provided,Male,"Triplex (3 units, any combination)",44.0,1665000.0,1909.0,23.55586592178771
66,East Asian,Unknown,Unknown or not provided,Unknown,Condominium,60.148464163822524,292272.0,2005.0,23.55586592178771
67,Western European,Married,Husband and wife,Female,Condominium,60.0,276002.0,2006.0,23.55586592178771
68,Western European,Single,Unknown or not provided,Female,Cooperative,83.0,1169000.0,1939.2222222222222,23.55586592178771
69,Unknown,Unknown,Joint Tenant/Joint Tenant with right of Survivorship,Unknown,Condominium,60.148464163822524,440567.0,2004.0,23.55586592178771
70,Jewish,Married,Unknown or not provided,Female,Condominium,63.0,181004.0,1986.0,23.55586592178771
71,East Asian,Unknown,Unknown or not provided,Unknown,Condominium,60.148464163822524,292272.0,2005.0,23.55586592178771
72,East Asian,Unknown,Unknown or not provided,Unknown,Condominium,60.148464163822524,292272.0,2005.0,23.55586592178771
73,East Asian,Unknown,Unknown or not provided,Unknown,Condominium,60.148464163822524,292272.0,2005.0,23.55586592178771
74,East Asian,Unknown,Unknown or not provided,Unknown,Condominium,60.148464163822524,292272.0,2005.0,23.55586592178771
75,East Asian,Unknown,Unknown or not provided,Unknown,Condominium,60.148464163822524,292272.0,2005.0,23.55586592178771
76,East Asian,Unknown,Unknown or not provided,Unknown,Condominium,60.148464163822524,292272.0,2005.0,23.55586592178771
77,East Asian,Unknown,Unknown or not provided,Unknown,Condominium,60.148464163822524,292272.0,2005.0,23.55586592178771
78,Western European,Single,Unknown or not provided,Female,Cooperative,47.0,1113000.0,1939.2222222222222,23.55586592178771
79,Jewish,Married,Unknown or not provided,Female,Condominium,63.0,181004.0,1986.0,23.55586592178771
80,East Asian,Single,Unknown or not provided,Female,Condominium,94.0,302464.0,2005.0,23.55586592178771
81,East Asian,Unknown,Unknown or not provided,Unknown,Condominium,60.148464163822524,292272.0,2005.0,23.55586592178771
82,East Asian,Unknown,Unknown or not provided,Unknown,Condominium,60.148464163822524,292272.0,2005.0,23.55586592178771
83,East Asian,Unknown,Unknown or not provided,Unknown,Condominium,60.148464163822524,292272.0,2005.0,23.55586592178771
84,East Asian,Unknown,Unknown or not provided,Unknown,Condominium,60.148464163822524,292272.0,2005.0,23.55586592178771
85,East Asian,Unknown,Unknown or not provided,Unknown,Condominium,60.148464163822524,292272.0,2005.0,23.55586592178771
86,East Asian,Unknown,Unknown or not provided,Unknown,Condominium,60.148464163822524,292272.0,2005.0,23.55586592178771
87,East Asian,Unknown,Unknown or not provided,Unknown,Condominium,60.148464163822524,292272.0,2005.0,23.55586592178771
88,East Asian,Unknown,Unknown or not provided,Unknown,Condominium,60.148464163822524,292272.0,2005.0,23.55586592178771
89,East Asian,Unknown,Unknown or not provided,Unknown,Condominium,60.148464163822524,292272.0,2005.0,23.55586592178771
90,Unknown,Unknown,Unknown or not provided,Unknown,"Duplex (2 units, any combination)",60.148464163822524,1766000.0,1910.0,27.0
91,Unknown,Unknown,Unknown or not provided,Unknown,"Duplex (2 units, any combination)",60.148464163822524,1766000.0,1910.0,27.0
92,Unknown,Unknown,Unknown or not provided,Unknown,"Duplex (2 units, any combination)",60.148464163822524,1077000.0,1910.0,27.0
93,African American,Single,Unknown or not provided,Male,Apartment house (5+ units),57.0,284000.0,1910.0,27.0
94,Unknown,Unknown,Unknown or not provided,Unknown,"Duplex (2 units, any combination)",60.148464163822524,1077000.0,1910.0,27.0
95,Unknown,Unknown,Unknown or not provided,Unknown,"Duplex (2 units, any combination)",60.148464163822524,1766000.0,1910.0,27.0
96,Unknown,Unknown,Unknown or not provided,Unknown,"Duplex (2 units, any combination)",60.148464163822524,1766000.0,1910.0,27.0
97,Unknown,Unknown,Unknown or not provided,Unknown,"Duplex (2 units, any combination)",60.148464163822524,1077000.0,1910.0,27.0
98,Unknown,Unknown,Unknown or not provided,Unknown,"Duplex (2 units, any combination)",60.148464163822524,1077000.0,1910.0,27.0
99,Unknown,Unknown,Unknown or not provided,Unknown,"Duplex (2 units, any combination)",60.148464163822524,1077000.0,1910.0,27.0
100,African American,Single,Unknown or not provided,Female,"Triplex (3 units, any combination)",82.0,2626000.0,1901.0,27.0
101,African American,Single,Unknown,Female,Unknown,65.0,112500.0,1939.2222222222222,23.55586592178771
102,Unknown,Unknown,Unknown or not provided,Unknown,"Triplex (3 units, any combination)",60.148464163822524,2827000.0,2002.0,14.0
103,African American,Unknown,Unknown or not provided,Male,Apartment house (5+ units),50.0,1550000.0,1910.0,26.0
104,African American,Married,Unknown or not provided,Female,"Triplex (3 units, any combination)",63.0,2239000.0,1900.0,27.0
105,African American,Unknown,Unknown or not provided,Male,"Triplex (3 units, any combination)",29.0,2086000.0,1910.0,26.0
106,African American,Unknown,Unknown or not provided,Male,Apartment house (5+ units),50.0,1550000.0,1910.0,26.0
107,African American,Unknown,Unknown or not provided,Male,Apartment house (5+ units),50.0,1550000.0,1910.0,26.0
108,African American,Unknown,Unknown or not provided,Male,"Triplex (3 units, any combination)",29.0,2086000.0,1910.0,26.0
109,African American,Unknown,Unknown or not provided,Male,Apartment house (5+ units),50.0,1550000.0,1910.0,26.0
110,African American,Unknown,Unknown or not provided,Male,"Triplex (3 units, any combination)",29.0,2086000.0,1910.0,26.0
111,African American,Unknown,Unknown or not provided,Male,"Triplex (3 units, any combination)",29.0,2086000.0,1910.0,26.0
112,Unknown,Unknown,Unknown or not provided,Unknown,Single Family Residence,60.148464163822524,1877000.0,1899.0,27.0
113,Unknown,Unknown,Unknown or not provided,Unknown,"Triplex (3 units, any combination)",60.148464163822524,1963000.0,1909.0,27.0
114,African American,Married,Unknown or not provided,Female,Apartment house (5+ units),45.0,665000.0,1909.0,26.0
115,African American,Single,Unknown or not provided,Male,Apartment house (5+ units),57.0,284000.0,1910.0,27.0
116,Unknown,Unknown,Unknown or not provided,Unknown,"Duplex (2 units, any combination)",60.148464163822524,1766000.0,1910.0,27.0
117,Unknown,Unknown,Unknown or not provided,Unknown,Single Family Residence,60.148464163822524,1877000.0,1899.0,27.0
118,Unknown,Unknown,Unknown or not provided,Unknown,"Duplex (2 units, any combination)",60.148464163822524,1077000.0,1910.0,27.0
119,Jewish,Separated,Unknown or not provided,Male,Cooperative,61.0,691000.0,1939.2222222222222,23.55586592178771
120,Jewish,Separated,Unknown or not provided,Male,Cooperative,61.0,691000.0,1939.2222222222222,23.55586592178771
121,Unknown,Unknown,Unknown or not provided,Unknown,Single Family Residence,60.148464163822524,1877000.0,1899.0,27.0
