,ethnicity,marital_status,owner_type,gender,use,age,bld_val,year_built,roof_age
0,Middle Eastern,Single,Joint Tenant/Joint Tenant with right of Survivorship,Female,Single Family Residence,37.0,246000.0,1952.0,17.0
1,Western European,Married,Joint Tenant/Joint Tenant with right of Survivorship,Female,"Duplex (2 units, any combination)",60.0,768000.0,1890.0,17.0
2,Mediterranean,Married,Joint Tenant/Joint Tenant with right of Survivorship,Female,Single Family Residence,60.0,361000.0,1899.0,17.0
3,Western European,Unknown,Joint Tenant/Joint Tenant with right of Survivorship,Male,Single Family Residence,57.00301204819277,237000.0,1921.0,17.0
4,Western European,Married,Joint Tenant/Joint Tenant with right of Survivorship,Female,Single Family Residence,66.0,237000.0,1953.0,17.0
5,Western European,Single,Unknown or not provided,Male,Single Family Residence,41.0,344000.0,1896.0,17.0
6,Western European,Unknown,Joint Tenant/Joint Tenant with right of Survivorship,Male,Single Family Residence,43.0,401000.0,1995.0,17.0
7,Unknown,Unknown,Joint Tenant/Joint Tenant with right of Survivorship,Unknown,Single Family Residence,57.00301204819277,386000.0,1910.0,17.0
8,Western European,Married,Unknown or not provided,Female,Single Family Residence,93.0,241000.0,1971.0,17.0
9,Western European,Single,Joint Tenant/Joint Tenant with right of Survivorship,Female,Single Family Residence,56.0,331000.0,1929.0,18.0
10,Western European,Married,Joint Tenant/Joint Tenant with right of Survivorship,Male,Single Family Residence,70.0,272000.0,1956.0,17.0
11,Unknown,Unknown,Unknown or not provided,Unknown,Single Family Residence,57.00301204819277,250000.0,1964.0,17.0
12,Western European,Unknown,Unknown,Male,Unknown,37.0,407812.9770992366,1924.8025078369906,17.0
13,Unknown,Unknown,Single Man,Unknown,Single Family Residence,57.00301204819277,387000.0,1966.0,17.0
14,Unknown,Unknown,Joint Tenant/Joint Tenant with right of Survivorship,Unknown,Apartment house (5+ units),57.00301204819277,589000.0,1900.0,17.0
15,Jewish,Unknown,Estate,Female,Single Family Residence,33.0,331000.0,1830.0,17.0
16,Jewish,Unknown,Estate,Female,Single Family Residence,33.0,331000.0,1830.0,17.0
17,Western European,Married,Unknown or not provided,Female,Single Family Residence,67.0,356000.0,1940.0,17.0
18,Other,Married,Joint Tenant/Joint Tenant with right of Survivorship,Female,Single Family Residence,54.0,266000.0,1985.0,17.0
19,Unknown,Unknown,Unknown or not provided,Unknown,"Duplex (2 units, any combination)",57.00301204819277,380000.0,1880.0,17.0
20,Unknown,Unknown,Unknown or not provided,Unknown,"Duplex (2 units, any combination)",57.00301204819277,380000.0,1880.0,17.0
