,ethnicity,marital_status,owner_type,gender,use,age,bld_val,year_built,roof_age
0,Western European,Single,Joint Tenant/Joint Tenant with right of Survivorship,Female,Single Family Residence,52.0,535000,1850.0,17.0
1,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),60.56666666666667,466000,1932.394366197183,17.0
2,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),60.56666666666667,466000,1932.394366197183,17.0
3,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),60.56666666666667,466000,1932.394366197183,17.0
4,Western European,Single,Unknown or not provided,Male,Single Family Residence,63.0,564000,1991.0,17.0
5,Western European,Single,Unknown or not provided,Male,Single Family Residence,63.0,564000,1991.0,17.0
6,Western European,Single,Unknown or not provided,Male,Condominium,72.0,442000,1920.0,16.58823529411765
7,Western European,Single,Unknown or not provided,Male,Single Family Residence,63.0,564000,1991.0,17.0
8,Western European,Single,Unknown or not provided,Male,Single Family Residence,63.0,564000,1991.0,17.0
9,Western European,Single,Unknown or not provided,Male,Single Family Residence,63.0,564000,1991.0,17.0
10,Western European,Single,Unknown or not provided,Male,Single Family Residence,63.0,564000,1991.0,17.0
11,Western European,Married,Unknown or not provided,Male,Condominium,73.0,533000,1988.0,17.0
12,Jewish,Separated,Joint Tenant/Joint Tenant with right of Survivorship,Female,Condominium,62.0,240000,1930.0,16.58823529411765
13,Unknown,Unknown,Unknown or not provided,Unknown,"Triplex (3 units, any combination)",60.56666666666667,341000,1884.0,17.0
14,African American,Married,Joint Tenant/Joint Tenant with right of Survivorship,Female,Single Family Residence,69.0,523000,1925.0,17.0
15,African American,Married,Joint Tenant/Joint Tenant with right of Survivorship,Female,Single Family Residence,69.0,523000,1925.0,17.0
16,Western European,Married,Unknown or not provided,Female,Single Family Residence,56.0,421000,1953.0,17.0
17,Western European,Married,Joint Tenant/Joint Tenant with right of Survivorship,Female,Single Family Residence,71.0,565000,1986.0,17.0
18,Jewish,Single,Joint Tenant/Joint Tenant with right of Survivorship,Female,Single Family Residence,64.0,276000,1940.0,17.0
19,Western European,Married,Unknown or not provided,Female,Single Family Residence,57.0,477000,1947.0,17.0
20,Western European,Married,Joint Tenant/Joint Tenant with right of Survivorship,Male,Single Family Residence,75.0,232000,1929.0,17.0
21,Western European,Single,Unknown or not provided,Male,Single Family Residence,89.0,863000,1911.0,17.0
22,Western European,Married,Joint Tenant/Joint Tenant with right of Survivorship,Male,Single Family Residence,51.0,284000,1931.0,17.0
23,Unknown,Unknown,Joint Tenant/Joint Tenant with right of Survivorship,Unknown,Single Family Residence,60.56666666666667,562000,1855.0,17.0
