,ethnicity,marital_status,owner_type,gender,use,age,bld_val,year_built,roof_age
0,Western European,Married,Husband and wife,Female,Single Family Residence,71.0,999000.0,1954.0,33.0
1,Hispanic,Unknown,Single Woman,Female,Single Family Residence,43.0,346000.0,1976.0,15.0
2,Western European,Unknown,Unknown or not provided,Male,Single Family Residence,57.34530794883701,226000.0,1918.0,32.0
3,Other,Unknown,Unknown or not provided,Unknown,Single Family Residence,57.34530794883701,449000.0,1942.0,33.0
4,Western European,Married,Husband and wife,Female,Single Family Residence,51.0,562000.0,1983.0,23.0
5,Hispanic,Single,Separate Estate/Property,Female,Single Family Residence,72.0,247000.0,1953.0,41.0
6,Western European,Married,Husband and wife,Male,Single Family Residence,71.0,528000.0,1979.0,23.0
7,Western European,Single,Separate Estate/Property,Male,Single Family Residence,58.0,181000.0,1959.0,16.0
8,Other,Married,Unmarried Man,Male,Single Family Residence,50.0,310000.0,1956.0,16.0
9,Western European,Married,Husband and wife,Male,Single Family Residence,49.0,289000.0,1965.0,41.0
10,Other,Married,Husband and wife,Female,Single Family Residence,72.0,493000.0,1918.0,41.0
11,Western European,Married,Husband and wife,Female,Single Family Residence,65.0,364000.0,1976.0,39.0
12,Western European,Married,Unknown or not provided,Male,Single Family Residence,71.0,357000.0,1962.0,20.0
13,Western European,Single,Single Woman,Unknown,Single Family Residence,48.0,270000.0,1980.0,35.0
14,Western European,Married,Husband and wife,Female,Single Family Residence,57.0,660000.0,1964.0,23.0
15,Western European,Married,Husband and wife,Female,Single Family Residence,60.0,1046000.0,2007.0,9.0
16,Eastern European,Married,Husband and wife,Female,Single Family Residence,51.0,372000.0,1955.0,8.0
17,Unknown,Unknown,Unknown or not provided,Unknown,Single Family Residence,57.34530794883701,525000.0,1980.0,35.0
18,East Asian,Married,Husband and wife,Male,Single Family Residence,69.0,544000.0,1960.0,17.0
19,Western European,Single,Husband and wife,Female,Single Family Residence,37.0,410000.0,2010.0,10.0
20,Western European,Married,Husband and wife,Female,Single Family Residence,65.0,418000.0,1955.0,16.0
21,Western European,Unknown,Separate Estate/Property,Female,Single Family Residence,59.0,732000.0,2000.0,6.0
22,Scandinavian,Married,Husband and wife,Female,Single Family Residence,73.0,239000.0,1957.0,41.0
23,Western European,Married,Separate Estate/Property,Male,Condominium,63.0,60000.0,1977.0,24.795433378398677
24,Hispanic,Single,Husband and wife,Female,Single Family Residence,24.0,340000.0,2007.0,17.0
25,Hispanic,Unknown,Unknown or not provided,Female,Single Family Residence,67.0,174000.0,1960.0,41.0
26,Western European,Single,Husband and wife,Female,Single Family Residence,67.0,549000.0,1978.0,17.0
27,Mediterranean,Married,Separate Estate/Property,Female,Single Family Residence,94.0,208000.0,1976.0,22.0
28,Unknown,Unknown,Husband and wife,Unknown,Single Family Residence,57.34530794883701,702000.0,1988.0,23.0
29,Unknown,Unknown,Husband and wife,Unknown,Condominium,57.34530794883701,66000.0,1988.0,24.795433378398677
30,Western European,Married,Unknown or not provided,Female,Single Family Residence,46.0,189000.0,1962.0,14.0
31,Scandinavian,Married,Unknown or not provided,Female,Single Family Residence,93.0,427000.0,1954.0,23.0
32,Eastern European,Separated,Joint Tenant/Joint Tenant with right of Survivorship,Female,Single Family Residence,61.0,242000.0,1969.0,41.0
33,Unknown,Unknown,Single Woman,Unknown,Single Family Residence,57.34530794883701,197000.0,1968.0,41.0
34,Western European,Married,Unknown or not provided,Female,Single Family Residence,48.0,191000.0,1945.0,41.0
35,Unknown,Unknown,Unknown or not provided,Unknown,Single Family Residence,57.34530794883701,260000.0,1958.0,21.0
36,East Asian,Married,Husband and wife,Unknown,Single Family Residence,48.0,239000.0,1987.0,28.0
37,Western European,Single,Unknown or not provided,Female,"Quadplex (4 Units, Any Combination)",69.0,407000.0,1984.0,24.795433378398677
38,Western European,Married,Unknown or not provided,Male,Single Family Residence,62.0,597000.0,1966.0,17.0
39,Jewish,Unknown,Single / Unmarried,Male,Single Family Residence,57.34530794883701,285000.0,1943.0,16.0
40,Western European,Unknown,Single Man,Unknown,Single Family Residence,57.34530794883701,377000.0,1960.0,23.0
41,Unknown,Unknown,Single Man,Unknown,Condominium,57.34530794883701,130000.0,1993.0,24.795433378398677
42,Western European,Single,Unknown or not provided,Male,Single Family Residence,53.0,177000.0,1950.0,12.0
43,Western European,Married,Personal Trust,Female,Single Family Residence,72.0,697000.0,1958.0,41.0
44,Western European,Unknown,Husband and wife,Female,Single Family Residence,57.34530794883701,195000.0,1960.0,16.0
45,Western European,Married,Husband and wife,Female,Single Family Residence,60.0,221000.0,1963.0,41.0
46,East Asian,Married,Single / Unmarried,Male,Condominium,53.0,187000.0,2004.0,24.795433378398677
47,Other,Married,Living Trust,Female,Single Family Residence,73.0,612000.0,2012.0,42.0
48,East Asian,Single,Single Woman,Female,Condominium,55.0,185000.0,2006.0,24.795433378398677
49,Western European,Married,Unknown or not provided,Male,Single Family Residence,85.0,161000.0,1943.0,41.0
50,Other,Single,Separate Estate/Property,Male,Single Family Residence,51.0,154000.0,1948.0,16.0
51,Western European,Single,Separate Estate/Property,Female,Single Family Residence,45.0,225000.0,1962.0,16.0
52,Western European,Married,Unknown or not provided,Female,Single Family Residence,56.0,201000.0,1947.0,16.0
