,ethnicity,marital_status,owner_type,gender,use,age,bld_val,year_built,roof_age
0,Western European,Married,Unknown or not provided,Female,Single Family Residence,60.0,277000.0,1928.0,32.0
1,Jewish,Married,Husband and wife,Male,Single Family Residence,61.0,474000.0,1966.0,32.0
2,Western European,Married,Husband and wife,Female,Single Family Residence,54.0,1267000.0,2005.0,11.0
3,Western European,Single,Community Property,Female,Single Family Residence,57.0,643000.0,1962.0,32.0
4,Western European,Married,Unknown or not provided,Female,Single Family Residence,60.0,277000.0,1928.0,32.0
5,Western European,Married,Unknown or not provided,Female,Single Family Residence,60.0,277000.0,1928.0,32.0
6,Western European,Single,Community Property,Female,Single Family Residence,57.0,643000.0,1962.0,32.0
7,Western European,Married,Unknown or not provided,Female,Single Family Residence,60.0,277000.0,1928.0,32.0
8,Western European,Married,Unknown or not provided,Female,Single Family Residence,60.0,277000.0,1928.0,32.0
9,Western European,Married,Unknown or not provided,Female,Single Family Residence,60.0,277000.0,1928.0,32.0
10,Western European,Married,Unknown or not provided,Female,Single Family Residence,60.0,277000.0,1928.0,32.0
11,Western European,Married,Unknown or not provided,Female,Single Family Residence,60.0,277000.0,1928.0,32.0
12,Western European,Married,Unknown or not provided,Female,Single Family Residence,60.0,277000.0,1928.0,32.0
13,Western European,Married,Unknown or not provided,Female,Single Family Residence,60.0,277000.0,1928.0,32.0
14,Jewish,Married,Husband and wife,Male,Single Family Residence,61.0,474000.0,1966.0,32.0
15,Western European,Married,Husband and wife,Female,Single Family Residence,54.0,1267000.0,2005.0,11.0
16,Western European,Married,Husband and wife,Female,Single Family Residence,70.0,555000.0,1948.0,32.0
17,Western European,Married,Husband and wife,Female,Single Family Residence,82.0,473000.0,1960.0,15.0
18,Western European,Married,Husband and wife,Female,Single Family Residence,82.0,473000.0,1960.0,15.0
19,Western European,Married,Husband and wife,Female,Single Family Residence,41.0,418000.0,1947.0,32.0
20,Western European,Single,Husband and wife,Female,Single Family Residence,62.0,368000.0,1921.0,32.0
21,Western European,Married,Unknown or not provided,Female,Single Family Residence,55.0,427000.0,1929.0,32.0
22,East Asian,Married,Separate Estate/Property,Female,Single Family Residence,68.0,432000.0,1942.0,32.0
23,East Asian,Married,Separate Estate/Property,Female,Single Family Residence,68.0,432000.0,1942.0,32.0
24,Other,Married,Husband and wife,Female,Single Family Residence,60.0,624000.0,1940.0,33.0
25,Western European,Married,Husband and wife,Male,Single Family Residence,55.0,821000.0,2001.0,14.0
26,Western European,Single,Husband and wife,Female,Single Family Residence,62.0,199000.0,1950.0,23.0
27,Western European,Married,Unknown or not provided,Female,Single Family Residence,96.0,1316000.0,1974.0,12.0
