,ethnicity,marital_status,owner_type,gender,use,age,bld_val,year_built,roof_age
0,Unknown,Unknown,Unknown or not provided,Unknown,Condominium,54.78437322207472,312974.0,1984.0,11.699925539836187
1,African American,Married,Unknown or not provided,Female,Single Family Residence,50.0,527142.0,1964.0,23.0
2,Western European,Married,Unknown or not provided,Female,Condominium,81.0,115874.0,1981.0,2.0
3,Mediterranean,Married,Husband and wife,Male,Single Family Residence,74.0,456921.0,1990.0,5.0
4,Mediterranean,Married,Husband and wife,Male,Single Family Residence,74.0,456921.0,1990.0,5.0
5,Mediterranean,Married,Husband and wife,Male,Single Family Residence,74.0,456921.0,1990.0,5.0
6,Western European,Married,Trustee,Female,Condominium,67.0,308473.0,1982.0,11.699925539836187
7,Hispanic,Married,Unknown or not provided,Female,Single Family Residence,76.0,661136.0,1955.0,23.0
8,Western European,Married,Husband and wife,Female,Single Family Residence,61.0,351279.0,1957.0,3.0
9,Western European,Married,Tenant By Entirety,Female,Single Family Residence,54.0,530191.0,2002.0,13.0
10,Unknown,Unknown,Single Woman,Unknown,Single Family Residence,54.78437322207472,322835.0,1925.0,23.0
11,Scandinavian,Married,Husband and wife,Female,Single Family Residence,46.0,384284.0,2003.0,13.0
12,Western European,Married,Husband and wife,Female,Single Family Residence,50.0,713663.0,2002.0,7.0
13,Other,Unknown,Trustee,Female,Condominium,58.0,273209.0,1982.0,11.699925539836187
14,Other,Unknown,Trustee,Female,Condominium,58.0,273209.0,1982.0,11.699925539836187
15,Western European,Married,Unknown or not provided,Female,Single Family Residence,72.0,1179072.0,1999.0,16.0
16,Western European,Married,Husband and wife,Female,Single Family Residence,55.0,907385.0,1992.0,24.0
17,Hispanic,Unknown,Husband and wife,Female,Single Family Residence,54.78437322207472,1059958.0,1998.0,11.0
18,Hispanic,Single,Husband and wife,Female,Single Family Residence,54.0,171520.0,1926.0,24.0
19,Western European,Married,Unknown or not provided,Female,Single Family Residence,72.0,1179072.0,1999.0,16.0
20,Western European,Married,Unknown or not provided,Female,Condominium,60.0,324943.0,1997.0,19.0
21,Western European,Married,Husband and wife,Male,Single Family Residence,59.0,366293.0,2005.0,10.0
22,Western European,Married,Husband and wife,Male,Single Family Residence,59.0,637419.0,1978.0,23.0
23,Western European,Married,Trustee,Female,Single Family Residence,85.0,394585.0,1973.0,23.0
24,Western European,Single,Joint Tenant/Joint Tenant with right of Survivorship,Female,Single Family Residence,41.0,329588.0,1958.0,15.0
25,Western European,Married,Estate,Male,Single Family Residence,56.0,528215.0,2003.0,12.0
26,Western European,Married,Estate,Male,Single Family Residence,56.0,528215.0,2003.0,12.0
27,Western European,Single,Husband and wife,Female,Condominium,92.0,295334.0,1998.0,11.699925539836187
28,Western European,Single,Husband and wife,Male,Single Family Residence,61.0,728467.0,2006.0,9.0
29,Western European,Married,Trustee,Male,Condominium,38.0,173240.0,2005.0,10.0
30,Western European,Married,Trustee,Male,Condominium,38.0,173240.0,2005.0,10.0
31,Western European,Married,Unknown or not provided,Female,Condominium,48.0,216056.0,2012.0,4.0
32,Unknown,Unknown,Unknown or not provided,Unknown,Single Family Residence,54.78437322207472,631028.0,1987.0,3.0
33,Western European,Married,Husband and wife,Male,Single Family Residence,40.0,326742.0,2003.0,12.0
34,Unknown,Unknown,Husband and wife,Unknown,Single Family Residence,54.78437322207472,186182.0,1979.0,11.699925539836187
35,Hispanic,Single,Life Estate,Female,Single Family Residence,75.0,90887.0,1960.0,7.0
36,Hispanic,Single,Life Estate,Female,Single Family Residence,75.0,90887.0,1960.0,7.0
37,Unknown,Unknown,Unknown or not provided,Unknown,Single Family Residence,54.78437322207472,162661.0,1964.0,10.0
38,Western European,Married,Husband and wife,Male,Single Family Residence,67.0,356503.0,1984.0,3.0
39,Western European,Single,Joint Tenant/Joint Tenant with right of Survivorship,Male,Condominium,61.0,95989.0,1982.0,4.0
40,Western European,Single,Unknown or not provided,Female,Single Family Residence,51.0,110581.0,1972.0,7.0
41,Western European,Single,Unmarried Man,Female,Single Family Residence,62.0,169189.0,1983.0,7.0
42,Western European,Married,Husband and wife,Male,Single Family Residence,56.0,617808.0,2001.0,14.0
43,Western European,Married,Husband and wife,Female,Single Family Residence,50.0,271426.0,2010.0,5.0
44,Western European,Married,Husband and wife,Female,Single Family Residence,68.0,167365.0,1983.0,16.0
45,Hispanic,Married,Husband and wife,Female,Single Family Residence,44.0,291327.0,1994.0,16.0
46,Western European,Separated,Company/Corporation/Incorporated,Female,Single Family Residence,69.0,204900.0,1981.0,13.0
47,Western European,Married,Husband and wife,Female,Single Family Residence,88.0,213498.0,1991.0,5.0
48,Western European,Married,Husband and wife,Female,Single Family Residence,88.0,213498.0,1991.0,5.0
49,Western European,Single,Single / Unmarried,Female,Single Family Residence,67.0,150524.0,1981.0,6.0
50,Western European,Married,Single / Unmarried,Female,Single Family Residence,56.0,177031.0,1957.0,12.0
51,Mediterranean,Married,Husband and wife,Male,Single Family Residence,57.0,1533964.0,2002.0,14.0
52,Western European,Married,Unknown or not provided,Female,Single Family Residence,69.0,239447.0,1984.0,0.0
53,Western European,Married,Husband and wife,Female,Single Family Residence,81.0,201262.0,1977.0,12.0
54,Western European,Married,Unknown or not provided,Male,Single Family Residence,60.0,227368.0,1926.0,23.0
55,Hispanic,Single,Single Woman,Female,Condominium,50.0,76329.0,1995.0,16.0
56,Mediterranean,Single,Unknown or not provided,Female,Condominium,82.0,69741.0,1986.0,16.0
57,Western European,Married,Joint Tenant/Joint Tenant with right of Survivorship,Male,Single Family Residence,63.0,266198.0,2006.0,9.0
58,Hispanic,Separated,Husband and wife,Female,Single Family Residence,54.0,453341.0,1995.0,1.0
59,Western European,Married,Joint Tenant/Joint Tenant with right of Survivorship,Female,Single Family Residence,37.0,229549.0,1981.0,9.0
60,Western European,Married,Husband and wife,Female,Single Family Residence,49.0,175344.0,1983.0,16.0
61,Mediterranean,Married,Unknown or not provided,Female,Condominium,75.0,91623.0,1983.0,16.0
62,Western European,Unknown,Trustee,Male,Single Family Residence,72.0,749978.0,1983.0,8.0
63,Western European,Married,Husband and wife,Female,Single Family Residence,42.0,262296.0,1963.0,13.0
64,Central & Southwest Asian,Single,Unknown or not provided,Female,Single Family Residence,41.0,654950.0,1989.0,6.0
65,Central & Southwest Asian,Single,Unknown or not provided,Female,Single Family Residence,41.0,654950.0,1989.0,6.0
66,Unknown,Unknown,Trust,Unknown,Single Family Residence,54.78437322207472,411790.0,1999.0,1.0
67,Western European,Married,Unknown or not provided,Female,Condominium,63.0,446904.0,2002.0,13.0
68,Western European,Married,Single Man,Male,Single Family Residence,59.0,144811.0,1913.0,24.0
69,Eastern European,Single,Single / Unmarried,Female,Condominium,37.0,212114.0,1993.0,23.0
70,Mediterranean,Unknown,Husband and wife,Female,Condominium,54.78437322207472,373997.0,1992.0,23.0
71,Western European,Married,Personal Trust,Female,Condominium,82.0,1156841.0,2002.0,11.699925539836187
