,ethnicity,marital_status,owner_type,gender,use,age,bld_val,year_built,roof_age
0,Western European,Married,Unknown or not provided,Female,Single Family Residence,73.0,345794,1949,2.0
1,Western European,Married,Unknown or not provided,Male,Condominium,60.0,472623,2002,13.0
2,Western European,Married,Husband and wife,Male,Condominium,70.0,183914,2005,11.64179104477612
3,Western European,Unknown,Husband and wife,Male,Single Family Residence,48.0,719065,1958,24.0
4,African American,Married,Single Woman,Female,Single Family Residence,75.0,33533,1962,2.0
5,African American,Married,Single Woman,Female,Single Family Residence,75.0,33533,1962,2.0
6,Hispanic,Unknown,Unknown or not provided,Female,Single Family Residence,77.0,87649,1998,17.0
7,African American,Married,Single Woman,Female,Single Family Residence,75.0,33533,1962,2.0
8,Western European,Married,Husband and wife,Male,Single Family Residence,72.0,1866527,2012,3.0
9,Western European,Unknown,Husband and wife,Male,Single Family Residence,48.0,719065,1958,24.0
10,Western European,Unknown,Husband and wife,Male,Single Family Residence,48.0,719065,1958,24.0
11,Western European,Unknown,Husband and wife,Male,Single Family Residence,48.0,719065,1958,24.0
12,Western European,Married,Husband and wife,Female,Single Family Residence,55.0,1981804,2010,5.0
13,Western European,Unknown,Husband and wife,Male,Single Family Residence,48.0,719065,1958,24.0
14,Western European,Unknown,Husband and wife,Male,Single Family Residence,48.0,719065,1958,24.0
15,Western European,Married,Unknown or not provided,Female,Single Family Residence,76.0,682154,2012,3.0
16,Western European,Unknown,Husband and wife,Male,Single Family Residence,48.0,719065,1958,24.0
17,Western European,Married,Single / Unmarried,Male,Single Family Residence,57.0,4416763,2005,11.0
18,Western European,Married,Unknown or not provided,Female,Single Family Residence,72.0,799839,1922,16.0
19,Western European,Married,Unknown or not provided,Female,Single Family Residence,72.0,799839,1922,16.0
20,Unknown,Unknown,Life Estate,Unknown,Single Family Residence,56.357894736842105,376388,1950,0.0
21,African American,Married,Unknown or not provided,Female,Condominium,35.0,32953,1974,11.64179104477612
22,Western European,Married,Husband and wife,Male,Single Family Residence,88.0,501249,2001,14.0
23,Western European,Married,Husband and wife,Female,Single Family Residence,77.0,381199,1992,16.0
24,Western European,Married,Unknown or not provided,Female,Single Family Residence,41.0,148572,1974,15.0
25,Hispanic,Married,Unknown or not provided,Female,Single Family Residence,63.0,162354,1983,23.0
