12_to_14_roof_top_capacity_distribution,18_to_20_roof_top_capacity_distribution,10_to_12_roof_top_capacity_distribution,50_to_100_roof_top_capacity_distribution,250_to_500_roof_top_capacity_distribution,20_to_50_roof_top_capacity_distribution,2_to_4_roof_top_capacity_distribution,500_to_1000_roof_top_capacity_distribution,town,14_to_16_roof_top_capacity_distribution,100_to_150_roof_top_capacity_distribution,6_to_8_roof_top_capacity_distribution,150_to_250_roof_top_capacity_distribution,zip_code,8_to_10_roof_top_capacity_distribution,16_to_18_roof_top_capacity_distribution,4_to_6_roof_top_capacity_distribution,1000_to_1000+_roof_top_capacity_distribution
110,42,146,152,42,251,332,20,tamba,63,54,233,52,33602,189,49,296,5
352,106,517,113,13,402,990,3,tamba,211,36,839,21,33603,693,141,897,2
567,175,819,174,13,496,1769,4,tamba,410,45,1426,19,33604,1103,273,1707,2
420,116,504,228,72,548,833,44,tamba,295,103,799,101,33605,659,189,845,17
286,137,326,140,24,640,520,17,tamba,212,58,496,42,33606,413,200,535,1
503,172,693,237,89,582,808,47,tamba,313,109,1016,81,33607,875,228,945,9
360,170,466,175,27,562,657,14,tamba,242,52,667,50,33609,598,182,699,1
587,167,908,412,111,811,1381,61,tamba,460,127,1359,163,33610,1094,278,1385,18
702,222,904,399,60,985,1389,30,tamba,503,133,1420,91,33612,1179,375,1461,11
382,245,414,266,24,1278,425,15,tamba,354,64,434,49,33613,442,314,369,0
903,357,1099,405,83,1348,1003,33,tamba,799,122,1206,102,33614,1235,590,1170,7
1122,575,1391,353,10,1648,808,14,tamba,852,68,1194,24,33615,1400,703,1022,3
757,348,865,355,27,1321,1120,19,tamba,601,93,987,34,33617,930,466,1098,4
638,490,681,149,37,1775,657,9,tamba,668,34,696,34,33618,717,536,601,3
894,244,1070,475,199,972,907,140,tamba,536,216,1169,186,33619,1206,375,1085,50
3,2,4,29,17,30,3,10,tamba,4,6,0,25,33620,2,2,6,0
1300,735,1382,148,18,1829,816,11,tamba,1185,42,1173,31,33624,1268,968,972,3
868,413,932,121,14,1063,469,10,tamba,635,39,805,12,33625,846,531,670,3
664,588,700,159,26,2331,439,10,tamba,671,35,467,49,33626,593,617,515,1
499,221,631,106,14,786,812,3,tamba,415,25,845,23,33629,715,322,835,1
614,220,653,205,162,609,410,76,tamba,517,97,622,100,33634,680,351,563,23
423,239,386,73,6,678,140,3,tamba,363,21,265,9,33635,371,335,163,0
301,98,354,146,25,365,289,15,tamba,232,50,394,43,33637,408,170,387,0
1308,1090,1264,455,22,6264,384,20,tamba,1194,94,776,49,33647,992,1183,562,5
21,15,22,70,8,121,65,1,new york city,13,8,44,11,10001,47,22,51,0
63,27,86,51,15,171,230,5,new york city,35,25,165,14,10002,128,26,200,0
54,31,88,83,5,160,249,0,new york city,34,11,217,9,10003,130,37,210,0
2,0,2,13,4,12,4,1,new york city,3,4,1,4,10004,2,1,3,0
8,1,2,12,2,21,17,0,new york city,2,3,9,6,10007,6,2,8,0
38,27,59,73,2,110,183,0,new york city,32,16,124,17,10009,86,34,148,0
20,7,17,61,5,88,46,0,new york city,16,9,31,5,10010,33,14,35,0
50,31,77,73,2,197,291,3,new york city,39,29,148,9,10011,117,33,249,0
61,25,79,47,2,124,147,1,new york city,32,10,97,4,10012,70,36,118,0
55,28,71,51,6,208,181,1,new york city,45,16,109,8,10013,103,40,144,0
44,20,69,55,9,135,289,3,new york city,31,10,136,13,10014,101,26,214,0
32,17,41,58,7,109,127,0,new york city,32,11,75,12,10016,66,23,99,0
3,3,6,13,1,42,26,1,new york city,9,5,16,9,10017,11,3,13,0
16,14,21,29,0,57,32,8,new york city,10,4,20,3,10018,37,8,38,0
21,9,37,60,8,98,105,4,new york city,18,23,77,13,10019,47,14,108,0
23,16,29,23,1,94,122,1,new york city,12,4,59,1,10021,42,15,101,0
22,7,28,25,1,76,102,0,new york city,12,6,63,6,10022,36,16,63,0
17,13,38,40,6,107,179,2,new york city,21,10,91,9,10023,52,28,120,0
41,22,49,55,2,147,263,2,new york city,20,8,120,4,10024,89,26,200,0
51,35,69,118,4,286,161,0,new york city,57,17,131,12,10025,73,44,149,1
26,17,51,49,3,127,120,0,new york city,33,11,129,7,10026,110,28,157,1
58,26,98,141,13,238,237,1,new york city,36,38,286,20,10027,185,30,289,1
34,18,60,29,1,113,169,1,new york city,26,5,103,1,10028,90,16,158,0
77,28,126,103,14,172,156,3,new york city,53,26,194,18,10029,142,43,176,0
38,10,54,41,2,78,179,1,new york city,35,7,185,3,10030,80,19,227,0
53,32,65,112,5,213,193,1,new york city,39,24,154,9,10031,82,36,230,0
45,18,39,121,3,240,67,4,new york city,41,31,82,9,10032,43,29,85,0
27,24,25,159,1,213,25,1,new york city,20,28,30,5,10033,22,17,34,0
25,15,19,116,14,191,25,2,new york city,17,29,20,22,10034,27,18,23,0
38,17,61,62,14,148,139,6,new york city,33,22,168,21,10035,108,22,160,0
21,15,41,43,4,73,110,1,new york city,20,14,83,12,10036,49,12,97,1
7,4,16,32,6,54,25,1,new york city,6,9,40,7,10037,10,5,29,0
6,7,6,28,8,40,34,0,new york city,9,6,18,6,10038,12,9,20,0
19,11,24,37,2,79,23,0,new york city,18,8,27,6,10039,19,20,27,0
15,14,13,106,3,148,12,1,new york city,10,15,18,14,10040,20,16,14,0
31,10,30,40,1,69,134,1,new york city,19,7,67,1,10065,49,17,112,0
16,12,30,25,0,63,84,0,new york city,13,1,46,1,10075,35,10,55,0
48,13,87,71,19,113,484,10,albany,33,14,287,20,12202,164,8,425,3
331,116,586,64,49,392,1438,16,albany,224,48,1007,42,12203,784,180,1410,4
77,37,101,90,27,144,262,16,albany,76,46,195,36,12204,166,51,234,4
693,148,1045,206,98,433,1603,47,albany,451,136,1342,108,12205,1151,269,1707,8
113,32,210,86,23,165,875,18,albany,52,39,476,37,12206,296,42,667,3
17,15,26,47,11,68,31,8,albany,5,24,31,21,12207,27,22,39,1
221,76,387,39,26,213,1143,7,albany,171,18,729,20,12208,537,116,963,0
130,26,207,22,5,57,673,1,albany,62,2,422,3,12209,282,38,580,0
42,24,83,36,7,65,452,1,albany,17,18,268,14,12210,168,23,433,0
416,115,478,24,10,298,415,10,albany,273,13,661,17,12211,576,204,570,0
5,5,5,92,18,73,6,4,seattle,4,48,7,35,98101,6,2,3,1
113,68,173,192,7,368,464,1,seattle,98,49,348,11,98102,243,64,460,0
543,148,901,229,23,729,2592,8,seattle,306,66,2078,32,98103,1433,184,2646,6
15,12,8,142,28,119,8,2,seattle,10,60,9,48,98104,8,10,6,0
321,97,523,209,38,551,1310,9,seattle,225,71,1189,57,98105,865,142,1468,2
257,55,414,78,25,197,1491,12,seattle,165,38,968,32,98106,649,104,1281,4
245,91,381,202,34,539,1149,10,seattle,168,63,715,39,98107,449,103,1016,2
354,101,545,223,121,359,1197,78,seattle,210,129,936,129,98108,673,115,1240,9
119,58,160,247,47,360,535,10,seattle,83,81,383,93,98109,266,54,580,1
290,99,319,75,8,281,1392,6,seattle,169,17,729,23,98110,546,134,1038,1
246,65,423,94,6,337,1225,2,seattle,162,14,893,14,98112,634,121,1150,1
704,202,1062,161,19,568,2894,14,seattle,474,47,2137,33,98115,1495,304,2890,1
327,109,527,100,7,343,1398,1,seattle,250,25,1113,21,98116,782,165,1407,2
449,120,690,58,6,386,2649,6,seattle,298,6,1862,10,98117,1134,172,2624,2
580,110,914,113,23,440,2275,12,seattle,350,37,1698,27,98118,1243,240,2176,2
167,56,286,177,28,344,872,18,seattle,102,73,649,51,98119,426,88,853,2
3,6,3,116,17,88,5,2,seattle,2,53,3,28,98121,5,2,3,0
186,67,266,237,27,395,1292,6,seattle,134,67,852,39,98122,510,80,1194,2
531,160,660,158,25,431,1528,9,seattle,340,64,1297,36,98125,904,225,1460,1
206,40,346,64,10,152,1555,3,seattle,120,20,987,16,98126,631,77,1355,2
545,125,783,222,57,496,1802,22,seattle,354,74,1543,70,98133,1101,196,1894,5
12,13,10,166,103,159,16,76,seattle,25,123,23,112,98134,18,4,23,10
