roof_viable_total,roof_space_median,roof_total_est_n_facing,zip_code,roof_energy_median,potential_tree_planet_all_solar,threshold_viable_sunroof,potential_car_taken_off_rode_all_solar,roof_total_est_flat_roofs,roof_space_total,roof_total_est_s_facing,roof_total_est_e_facing,roof_capacity_median,roof_total_est_w_facing,potential_co2_saved_all_solar,town,total_yearl_energy_est_flat_roof,roof_solar_viable
516,986.6286,0.279,10001,14950.653,288713,962.2,2380,16.80075,1297328.5,0.73175,0.39175,14,0.2055,11259.8125,new york city,281.17862,0.5633188
1275,546.16943,0.038,10002,8650.991,498835,962.2,4113,29.3815,2150128,0.43325,0.41275,7.75,0.24425,19454.602,new york city,38.72169,0.730659
1315,546.16943,0.298,10003,8575.982,361048,962.2,2976,20.555,1578887.6,0.7955,0.49925,7.75,0.25625,14080.879,new york city,299.00983,0.67470497
56,3329.8716,0.0595,10004,54115.965,81349,962.2,670,4.291,351486.44,0.28875,0.15975,47.25,0.1885,3172.6162,new york city,60.188137,0.46666667
106,845.68164,0.042,10007,12721.07,73533,962.2,606,4.29575,338959.78,0.27325,0.13,12,0.06875,2867.794,new york city,41.51906,0.5273632
952,563.7878,0.3155,10009,9009.355,342507,962.2,2824,18.4785,1461355.5,0.47225,1.349,8,0.121,13357.801,new york city,319.19382,0.7136432
382,1109.9572,0.1615,10010,16750.555,204861,962.2,1689,11.87725,904844.1,0.5755,0.15575,15.75,0.0695,7989.593,new york city,160.89146,0.5922481
1324,546.16943,0.411,10011,8178.6934,439955,962.2,3627,24.12725,1916508.5,1.1055,1.4095,7.75,0.1415,17158.275,new york city,409.4173,0.6215962
847,669.498,0.13125,10012,10445.284,256600,962.2,2115,14.41375,1107226.4,0.51575,0.47225,9.5,0.17825,10007.427,new york city,130.06427,0.6959737
1077,669.498,0.1615,10013,10639.751,366043,962.2,3018,21.6225,1606002.4,0.46075,0.33,9.5,0.214,14275.702,new york city,163.93883,0.6912709
1167,475.69595,0.35325,10014,7344.199,383502,962.2,3162,21.25025,1634561.8,0.82525,0.4665,6.75,0.29875,14956.581,new york city,354.80414,0.6217368
694,634.2612,0.09775,10016,9897.839,265468,962.2,2188,16.036,1194349.1,0.46675,0.2245,9,0.1225,10353.273,new york city,95.03923,0.51636904
156,1092.3389,0.02,10017,16289.049,108761,962.2,896,6.578,492415.78,0.13225,0.1965,15.5,0.0605,4241.715,new york city,19.664995,0.4073107
297,828.0633,0.44175,10018,12331.589,193902,962.2,1598,9.98625,836132.5,1.11,0.1515,11.75,0.175,7562.1934,new york city,467.5907,0.49417636
633,634.2612,0.64325,10019,9965.368,361871,962.2,2983,19.69575,1596911.2,1.3705,0.664,9,0.28625,14112.98,new york city,657.64484,0.60056925
536,510.93268,0.174,10021,7530.8623,147123,962.2,1213,8.08425,663049.7,0.726,0.31525,7.25,0.109,5737.811,new york city,171.61179,0.5104762
434,581.4061,0.12975,10022,8947.461,140297,962.2,1156,7.9955,642665.2,0.71075,0.129,8.25,0.15425,5471.6055,new york city,119.667,0.43443444
716,546.16943,0.10875,10023,8125.23,277677,962.2,2289,15.62,1246147.1,0.46525,1.38875,7.75,0.09975,10829.425,new york city,107.91311,0.5888158
1024,493.3143,0.13875,10024,7588.3247,270068,962.2,2226,15.278,1177981.8,0.541,0.529,7,0.2285,10532.685,new york city,139.79057,0.5919075
985,669.498,0.069,10025,10436.087,355490,962.2,2931,19.83575,1551279.8,0.541,1.41825,9.5,0.14825,13864.122,new york city,69.13063,0.61755484
570,475.69595,0.02125,10026,7712.566,165505,962.2,1364,8.8035,714636.25,0.15825,1.13375,6.75,0.02375,6454.713,new york city,22.140564,0.56213015
1005,669.498,0.193,10027,10718.02,413004,962.2,3405,22.596,1777957.6,0.897,0.98475,9.5,0.558,16107.187,new york city,186.99612,0.47383308
820,510.93268,0.06025,10028,7778.3022,179828,962.2,1482,10.6945,804084.7,0.2625,0.261,7.25,0.1315,7013.308,new york city,59.482033,0.6533865
1085,546.16943,0.07125,10029,8675.6,451470,962.2,3722,26.50425,1953947.5,0.428,0.5965,7.75,0.126,17607.361,new york city,71.64442,0.6880152
537,405.22247,0.0405,10030,6473.003,144306,962.2,1189,6.34075,614423,0.1095,2.173,5.75,0.05475,5627.9414,new york city,42.320435,0.47354499
804,739.97144,0.1655,10031,11857.778,318492,962.2,2626,16.83875,1358605.2,0.5105,1.383,10.5,0.3805,12421.211,new york city,174.38306,0.5114504
711,1039.4838,0.38875,10032,16539.846,341686,962.2,2817,18.41825,1470358.5,0.74725,0.19975,14.75,1.11,13325.792,new york city,378.99475,0.72477067
595,1550.4164,0.31525,10033,24760.873,310253,962.2,2558,17.806,1323262.8,0.37725,0.211,22,0.06725,12099.874,new york city,334.2231,0.82753825
484,845.68164,0.384,10034,13469.828,210295,962.2,1733,10.6225,885199.7,0.3045,1.155,12,0.09475,8201.529,new york city,381.6121,0.74806803
688,528.551,0.39925,10035,8318.845,427671,962.2,3526,23.22625,1812172.5,1.1695,0.527,7.5,0.39225,16679.17,new york city,411.09686,0.52279633
595,563.7878,0.05675,10036,8944.389,248050,962.2,2045,14.80825,1100830.9,0.39475,0.21475,8,0.146,9673.982,new york city,55.141792,0.5504163
183,1092.3389,0.329,10037,17126.219,135435,962.2,1116,7.491,582921.3,0.33375,0.07875,15.5,0.039,5281.9824,new york city,338.0419,0.620339
215,1127.5756,0.09925,10038,17484.436,140749,962.4769,1160,8.01325,620536.56,0.4525,0.10025,16,0.14,5489.2363,new york city,100.85259,0.577957
292,775.2082,0.102,10039,12468.423,124353,962.2,1025,6.36875,541465.3,1.07925,0.09875,11,0.0345,4849.7837,new york city,108.50024,0.83428574
371,1286.1409,0.026,10040,20712.031,173848,962.2,1433,9.38325,744693.2,0.09525,1.02475,18.25,0.03775,6780.085,new york city,25.668856,0.8100437
598,458.07758,0.2525,10065,7142.9263,156230,962.2,1288,8.363,699132.06,0.8435,0.35825,6.5,0.10325,6093.0024,new york city,256.6531,0.52873564
390,581.4061,0.0315,10075,8881.085,97513,962.2,804,5.866,433746.6,0.12325,0.0895,8.25,0.0445,3803.0215,new york city,31.311665,0.6103286
2084,669.498,3.48375,33602,12764.012,1627302,1161.95,13417,60.62575,6010717.5,7.497,5.52,9.5,8.164,63464.797,tamba,4210.3867,0.7721378
5286,546.16943,6.15925,33603,10368.83,1413376,1161.95,11653,36.31975,5305754,11.8475,8.213,7.75,12.74775,55121.684,tamba,7547.6724,0.6913419
8625,493.3143,11.393,33604,9337.724,1985936,1161.95,16374,48.554,7590557,20.274,12.03025,7,15.45675,77451.53,tamba,14089.202,0.61209285
5961,669.498,9.15175,33605,12889.528,3627710,1161.95,29911,131.702,13190185,15.73325,13.126,9.5,17.45225,141480.72,tamba,11348.671,0.8176955
4160,757.58984,6.687,33606,14672.157,1904959,1161.95,15706,57.555,7020761,12.26875,10.6655,10.75,12.4465,74293.41,tamba,8256.866,0.8646851
6821,669.498,11.34975,33607,12934.802,3850202,1161.95,31745,140.6895,14100385,14.081,15.34125,9.5,18.61925,150157.9,tamba,14022.174,0.86506027
5051,687.11633,7.3635,33609,13445.685,1977534,1161.95,16305,62.78875,7317260.5,12.8635,8.92575,9.75,11.8885,77123.84,tamba,9047.296,0.8314403
